Strain_id	name	contigs	genome_length	cds	kingdom	phylum	class	order	family	genus	species	genome_status
1123060.3	Roseomonas aerilata DSM 19363	151	6428469	6015	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	Roseomonas aerilata	WGS
1123062.3	Roseomonas stagni DSM 19981	44	6384459	6022	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	Roseomonas stagni	WGS
1123072.3	Rubritepida flocculans DSM 14296	75	3833553	3702	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Rubritepida	Rubritepida flocculans	WGS
1123227.4	Saccharibacter floricola DSM 15669	47	2379718	2275	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Saccharibacter	Saccharibacter floricola	WGS
1203393.25	Komagataeibacter maltaceti strain LMG 1529	127	3638012	3791	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	Komagataeibacter maltaceti	WGS
1208583.4	Commensalibacter sp. MX-MONARCH01	12	2332652	2097	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Commensalibacter	Commensalibacter sp. MX01	WGS
1214225.3	Acidocella sp. MX-AZ02	325	3600757	3386	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidocella	Acidocella sp. MX-AZ02	WGS
1217720.3	Roseomonas sp. B5	228	4719255	4330	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	Roseomonas sp. B5	WGS
1231339.3	Acetobacter cibinongensis 4H-1	120	3105087	3100	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter cibinongensis	WGS
1231343.3	Acetobacter syzygii 9H-2	94	2687370	2759	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter syzygii	WGS
1231351.3	Acidomonas methanolica NBRC 104435	546	3690031	3474	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidomonas	Acidomonas methanolica	WGS
1231353.3	Komagataeibacter intermedius TF2	943	3883532	4627	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	Komagataeibacter intermedius	WGS
1231624.3	Asaia bogorensis NBRC 16594	1	3198265	2896	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Asaia	Asaia bogorensis	Complete
1234671.3	Acetobacter papayae JCM 25143	177	3041080	3758	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter papayae	WGS
1234672.3	Komagataeibacter kakiaceti JCM 25156	947	3133102	3848	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	Komagataeibacter kakiaceti	WGS
1236500.5	Asaia astilbis JCM 15831	49	3147416	3482	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Asaia	Asaia astilbis	WGS
1236502.5	Asaia prunellae JCM 25354	38	3182743	3583	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Asaia	Asaia prunellae	WGS
1262685.3	Acetobacter sp. CAG:977	38	1926190	1885	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter sp. CAG	WGS
1262689.3	Acidiphilium sp. CAG:727	116	1734676	1738	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	Acidiphilium sp. CAG	WGS
1264899.3	Zavarzinia compransoris strain DSM 1231	17	4757539	4590	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Zavarzinia	Zavarzinia compransoris	WGS
1335062.3	Roseomonas rhizosphaerae strain YW11	114	4653735	4515	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	Roseomonas rhizosphaerae	WGS
1343158.3	Saccharibacter sp. AM169	9	1978091	1814	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Saccharibacter	Saccharibacter sp. AM169	WGS
1382230.3	Asaia platycodi SF2.1	27	3420650	3169	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Asaia	Asaia platycodi	WGS
1408418.3	Acidiphilium angustum ATCC 35903	207	4175208	3853	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	Acidiphilium angustum	WGS
1408419.3	Acidocella facilis ATCC 35904	48	3403931	3216	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidocella	Acidocella facilis	WGS
1448136.3	Roseomonas mucosa ATCC BAA-692	81	4858440	4484	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	Roseomonas mucosa	WGS
1464546.3	Acidiphilium sp. JA12-A1	297	4188357	3916	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	Acidiphilium sp. JA12-A1	WGS
146474.4	Acetobacter orientalis strain DmW_045	106	2868211	2879	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter orientalis	WGS
1510841.11	Parasaccharibacter apium strain A29	27	2008935	1855	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Parasaccharibacter	Parasaccharibacter apium	WGS
1511209.3	Gluconobacter sp. DsW_056 strain DsW_056	47	3175732	3086	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter	Gluconobacter sp. DsW_056	WGS
1511210.3	Gluconobacter sp. DsW_058 strain DsW_058	90	2834424	2811	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter	Gluconobacter sp. DsW_058	WGS
1514894.3	Acetobacter sp. DsW_063 strain DsW_063	176	3033468	3216	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter sp. DsW_063	WGS
153496.12	Kozakia baliensis strain DSM 14400	7	3505604	3581	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Kozakia	Kozakia baliensis	Complete
1539051.3	Bombella intestini strain R-52487	12	2023176	1914	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Bombella	Bombella intestini	WGS
1633874.3	Acetobacter sp. SLV-7	4	3106397	3191	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter oryzifermentans	Complete
1660159.3	Acetobacteraceae bacterium SCN 69-10	279	2100738	2362	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae		Acetobacteraceae bacterium SCN 69-10	WGS
1670658.3	Acetobacter sp. DmW_043 strain DmW_043	121	2639223	2574	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter sp. DmW_043	WGS
1670659.3	Acetobacter sp. DsW_47 strain DsW_47	174	3242718	3311	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter sp. DsW_47	WGS
1670660.3	Acetobacter sp. DsW_54 strain DsW_54	76	2715646	2729	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter sp. DsW_54	WGS
1670661.3	Acetobacter sp. DsW_059 strain DsW_059	179	2700176	2732	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter sp. DsW_059	WGS
1747507.3	Komagataeibacter sp. WE7	75	3406946	3572	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	Komagataeibacter cocois	WGS
178900.5	Acetobacter cerevisiae strain LMG 1625	157	3088073	3041	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter cerevisiae	WGS
178901.1	Acetobacter malorum strain DmCS_005	76	3513430	3075	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter malorum	WGS
1817963.3	Roseomonas sp. M3 strain M3	597	6249862	6285	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	Roseomonas deserti	WGS
1868878.3	Acetobacter sp. BCRC 14118	187	3041722	3607	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter sp. BCRC 14118	WGS
1896965.3	Acetobacter sp. 46_36	16	1904577	2015	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter sp. 46_36	WGS
1909293.12	Acetobacteraceae bacterium strain bog_937	137	4415081	4521	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae		Acetobacteraceae bacterium	WGS
1926319.4	Roseomonas sp. TAS13	816	5078941	5502	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	Roseomonas sp. TAS13	WGS
1945905.3	Acetobacter sp. UBA5411	45	3664191	3679	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter sp. UBA5411	WGS
1951301.3	Acetobacteraceae bacterium UBA6159	235	4628166	4454	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae		Acetobacteraceae bacterium UBA6159	WGS
1969806.3	Acidisphaera sp. G45-3	4	4037611	3972	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidibrevibacterium	Acidibrevibacterium fodinaquatile	Complete
1970094.3	Saccharibacter sp. 3.A.1 strain 3.A.1	24	2013206	1863	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Saccharibacter	Saccharibacter sp. 3.A.1	WGS
1970095.3	Saccharibacter sp. M18 strain M18	11	2075048	1973	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Saccharibacter	Saccharibacter sp. M18	WGS
1970291.3	Acidiphilium sp. 20-67-58	119	3405198	3370	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	Acidiphilium sp. 20-67-58	WGS
1970292.3	Acidiphilium sp. 21-60-14	132	3057394	3098	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	Acidiphilium sp. 21-60-14	WGS
1970296.3	Acidiphilium sp. 34-60-192	89	3106839	3354	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	Acidiphilium sp. 34-60-192	WGS
1970297.3	Acidiphilium sp. 34-64-41	180	3857086	3951	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	Acidiphilium sp. 34-64-41	WGS
1970298.3	Acidiphilium sp. 37-60-79	98	3069660	3095	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	Acidiphilium sp. 37-60-79	WGS
1970299.3	Acidiphilium sp. 37-64-53	211	4033437	4077	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	Acidiphilium sp. 37-64-53	WGS
1970301.3	Acidocella sp. 20-57-95	102	3042749	3137	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidocella	Acidocella sp. 20-57-95	WGS
1970302.3	Acidocella sp. 20-58-15	323	2249614	2454	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidocella	Acidocella sp. 20-58-15	WGS
1970304.3	Acidocella sp. 20-63-7	176	1512440	1575	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidocella	Acidocella sp. 20-63-7	WGS
1970305.3	Acidocella sp. 21-58-7	436	2609104	2964	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidocella	Acidocella sp. 21-58-7	WGS
1970306.3	Acidocella sp. 35-58-6	445	1888163	2174	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidocella	Acidocella sp. 35-58-6	WGS
1979269.4	Rhodovarius sp. CCP-6	48	5275777	5182	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Rhodovarius	Rhodovarius sp. CCP-6	WGS
198092.3	Roseomonas rosea strain DSM 14916	81	5342582	5176	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	Roseomonas rosea	WGS
2018065.3	Roseomonas sp. FDAARGOS_362	8	5174209	4948	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	Roseomonas sp. FDAARGOS_362	Complete
2021998.3	Komagataeibacter sp. T5K1	138	3449370	3639	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	Komagataeibacter pomaceti	WGS
2070537.3	Commensalibacter sp. ESL0284	13	1948862	1785	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Commensalibacter	Commensalibacter sp. ESL0284	WGS
2081701.3	Komagataeibacter sp. AV446	167	3425754	3655	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	Komagataeibacter sp. AV446	WGS
215220.5	Komagataeibacter swingsii strain LMG 22125	113	3732982	3953	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	Komagataeibacter swingsii	WGS
215221.1	Komagataeibacter rhaeticus strain LMG 22126	64	3465200	3516	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	Komagataeibacter rhaeticus	WGS
2184016.3	Roseomonas sp. CQN31	14	5944573	5626	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	Roseomonas sp. CQN31	WGS
2211142.3	Zavarzinia sp. HR-AS	41	4477202	4315	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Zavarzinia	Zavarzinia sp. HR-AS	WGS
2230885.3	Paracraurococcus sp. DB-1506	87	5823079	5613	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae		Acetobacteraceae bacterium DB1506	WGS
2259883.3	Acetobacter sp. JWB	3	2941821	2976	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter sp. JWB	Complete
2301223.3	Komagataeibacter sp. AV 382	248	3493909	3753	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	Komagataeibacter sp. AV 382	WGS
2307076.3	Roseomonas sp. CPCC 101021	249	5132502	5250	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	Roseomonas sp. CPCC 101021	WGS
2320859.3	Oleomonas sp. K1W22B-8	29	5643452	5926	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Oleomonas	Oleomonas sp. K1W22B-8	WGS
2382222.3	Roseomonas sp. Z24	564	5817219	6162	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	Roseomonas sp. Z24	WGS
243956.3	Roseomonas gilardii subsp. rosea strain NCTC13290	5	4128143	3877	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	Roseomonas gilardii subsp. rosea	WGS
257438.3	Gluconobacter thailandicus strain LMG 1741	90	3677727	3638	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter	Gluconobacter thailandicus	WGS
257708.4	Roseomonas gilardii strain U14-5	5	5412463	5120	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	Roseomonas gilardii	Complete
265959.6	Komagataeibacter saccharivorans strain LMG 1582	107	3350941	3417	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	Komagataeibacter saccharivorans	WGS
265960.2	Komagataeibacter nataicola strain LMG 1536	106	3672972	3992	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	Komagataeibacter nataicola	WGS
272568.11	Gluconacetobacter diazotrophicus PAl 5 (Prj:21071)	2	3914947	3556	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconacetobacter	Gluconacetobacter diazotrophicus	Complete
28448.11	Komagataeibacter xylinus strain LMG 1515	191	3660798	3983	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	Komagataeibacter xylinus	WGS
290633.22	Gluconobacter oxydans 621H strain WT-DSMZ	6	2924837	2865	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter	Gluconobacter oxydans	Complete
318683.6	Gluconobacter albidus strain LMG 1768	114	3661196	3728	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter	Gluconobacter albidus	WGS
320497.4	Neoasaia chiangmaiensis strain NBRC 101099	1	3407860	3331	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Neoasaia	Neoasaia chiangmaiensis	Complete
349163.14	Acidiphilium cryptum JF-5	9	3963080	3627	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	Acidiphilium cryptum	Complete
376620.7	Gluconobacter japonicus strain LMG 26773	64	3162929	3101	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter	Gluconobacter japonicus	WGS
38307.4	Gluconobacter cerinus strain NBRC 3267	49	3587595	3489	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter	Gluconobacter cerinus	WGS
38308.3	Gluconobacter frateurii strain NBRC 3264	10	3309380	3210	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter	Gluconobacter frateurii	WGS
406101.3	Asaia sp. SF2.1	50	3368685	3048	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Asaia	Asaia sp. SF2.1	WGS
431306.5	Acetobacter ghanensis strain LMG 23848T	3	2843936	2946	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter ghanensis	Complete
435.5	Acetobacter aceti strain TMW2.1153	1	3725037	3843	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter subgen. Acetobacter	Acetobacter aceti	Complete
436.8	Komagataeibacter hansenii strain HUM-1	125	3342584	3510	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	Komagataeibacter hansenii	WGS
438.15	Acetobacter pasteurianus strain SRCM100623	184	3209998	3402	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter pasteurianus	WGS
446692.5	Acetobacter senegalensis strain DmL_050	235	4047831	4328	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter senegalensis	WGS
481145.3	Acetobacter pasteurianus subsp. pasteurianus strain SRCM101342	6	3287976	3444	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter pasteurianus subsp. pasteurianus	Complete
481146.4	Acetobacter pasteurianus subsp. ascendens strain SRCM101447	4	3285832	3324	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter ascendens	Complete
483199.6	Acetobacter fabarum strain KR	155	3027698	3154	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter fabarum	WGS
525371.3	Roseomonas cervicalis ATCC 49957	498	5100977	4019	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	Roseomonas cervicalis	WGS
526.4	Acidiphilium rubrum strain ATCC 35905	78	3976993	3910	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	Acidiphilium rubrum	WGS
568898.3	Roseomonas aestuarii strain JR1/69-1-13	106	5195849	5133	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	Roseomonas aestuarii	WGS
586239.3	Gluconobacter roseus strain LMG 1418	29	2881212	2755	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter	Gluconobacter roseus	WGS
634177.7	Gluconacetobacter xylinus NBRC 3288	8	3513191	3490	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	Komagataeibacter medellinensis	Complete
65958.4	Komagataeibacter oboediens strain LMG 18849	278	3777265	4249	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	Komagataeibacter oboediens	WGS
65959.18	Acetobacter pomorum strain SH	3	3153219	3263	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter pomorum	Complete
89584.5	Gluconacetobacter liquefaciens strain DSM 5603	31	4176944	3965	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconacetobacter	Gluconacetobacter liquefaciens	WGS
926570.3	Acidiphilium multivorum AIU301	9	4214744	3987	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	Acidiphilium multivorum	Complete
938405.3	Belnapia rosea strain CPCC 100156	119	5994144	5979	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Belnapia	Belnapia rosea	WGS
94.4	Stella humosa strain DSM 5900	20	5827531	5530	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Stella	Stella humosa	WGS
940260.3	Acetobacter pasteurianus subsp. paradoxus strain LMG 1591	4	3216032	3586	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter pasteurianus subsp. paradoxus	Complete
940283.3	Gluconacetobacter europaeus LMG 18890	321	4227398	4159	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	Komagataeibacter europaeus	WGS
941463.3	Gluconobacter kondonii strain NBRC 3266	63	3272403	3307	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter	Gluconobacter kondonii	WGS
990373.3	Humitalea rosea strain DSM 24525	73	4974508	4754	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Humitalea	Humitalea rosea	WGS
1123738.3	'Echinacea purpurea' witches'-broom phytoplasma strain NCHU2014	28	545427	535	Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Candidatus Phytoplasma	'Echinacea purpurea' witches'-broom phytoplasma	WGS
1163385.3	Peanut witches'-broom phytoplasma NTU2011	14	566694	499	Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Candidatus Phytoplasma	Peanut witches'-broom phytoplasma	WGS
